date,high,low,Month,Year,City,
8,36°,23°,May,2021,Lahore,08-May-21
9,38°,25°,May,2021,Lahore,09-May-21
10,37°,22°,May,2021,Lahore,10-May-21
11,33°,24°,May,2021,Lahore,11-May-21
12,33°,20°,May,2021,Lahore,12-May-21
13,27°,20°,May,2021,Lahore,13-May-21
14,34°,21°,May,2021,Lahore,14-May-21
15,37°,21°,May,2021,Lahore,15-May-21
16,39°,25°,May,2021,Lahore,16-May-21
17,39°,25°,May,2021,Lahore,17-May-21
18,40°,27°,May,2021,Lahore,18-May-21
19,33°,25°,May,2021,Lahore,19-May-21
20,36°,22°,May,2021,Lahore,20-May-21
21,36°,23°,May,2021,Lahore,21-May-21
22,37°,25°,May,2021,Lahore,22-May-21
23,29°,24°,May,2021,Lahore,23-May-21
24,37°,23°,May,2021,Lahore,24-May-21
25,39°,25°,May,2021,Lahore,25-May-21
26,40°,25°,May,2021,Lahore,26-May-21
27,42°,27°,May,2021,Lahore,27-May-21
28,41°,29°,May,2021,Lahore,28-May-21
29,42°,29°,May,2021,Lahore,29-May-21
30,38°,26°,May,2021,Lahore,30-May-21
31,41°,23°,May,2021,Lahore,31-May-21
1,31°,23°,June,2021,Lahore,01-Jun-21
2,37°,25°,June,2021,Lahore,02-Jun-21
3,30°,25°,June,2021,Lahore,03-Jun-21
4,35°,24°,June,2021,Lahore,04-Jun-21
5,36°,25°,June,2021,Lahore,05-Jun-21
6,39°,27°,June,2021,Lahore,06-Jun-21
7,42°,30°,June,2021,Lahore,07-Jun-21
8,43°,31°,June,2021,Lahore,08-Jun-21
9,43°,32°,June,2021,Lahore,09-Jun-21
10,43°,29°,June,2021,Lahore,10-Jun-21
11,42°,27°,June,2021,Lahore,11-Jun-21
12,39°,26°,June,2021,Lahore,12-Jun-21
13,33°,23°,June,2021,Lahore,13-Jun-21
14,36°,24°,June,2021,Lahore,14-Jun-21
15,35°,27°,June,2021,Lahore,15-Jun-21
16,33°,26°,June,2021,Lahore,16-Jun-21
17,36°,25°,June,2021,Lahore,17-Jun-21
18,40°,28°,June,2021,Lahore,18-Jun-21
19,40°,28°,June,2021,Lahore,19-Jun-21
20,36°,27°,June,2021,Lahore,20-Jun-21
21,38°,26°,June,2021,Lahore,21-Jun-21
22,40°,28°,June,2021,Lahore,22-Jun-21
23,43°,29°,June,2021,Lahore,23-Jun-21
