country,iso_alpha3,name_1,name_2,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,pm_2019
Pakistan,PAK,Punjab,Faisalabad,10,15,6818781,47.650002,31.32,37.150002,39.66,42.599998,41.34,39.82,36.540001,39.240002,40.610001,42.560001,42.68,47.650002,45.389999,49.66,47.369999,40.220001,42.23,54.380001,44.919998,49.330002,42.209999
Pakistan,PAK,Punjab,Gujranwala,10,15,4316252,45.75,33.459999,41.59,39.150002,41.630001,41.099998,39.970001,37.200001,38.330002,41.560001,46.91,42.110001,45.75,46.200001,48.91,48.48,41.099998,41.549999,55.419998,46.610001,53.919998,41.509998
Pakistan,PAK,Punjab,Gujrat,10,15,3281306,44.650002,33.619999,44.380001,41.48,44.34,41.110001,39.970001,35.68,38.099998,41.07,45.240002,39.689999,44.650002,43.52,48.040001,48.41,41.43,40.580002,55.349998,45.139999,51.619999,40.209999
Pakistan,PAK,Punjab,Hafizabad,10,15,1225729,43.580002,30.639999,39.23,36.84,40.110001,37.619999,38.060001,35.009998,36.389999,39.029999,42.470001,39.330002,43.580002,42.049999,46.240002,44.869999,38.330002,38.77,50.950001,42.759998,48.110001,38.799999
Pakistan,PAK,Punjab,Jhang,10,15,3384024,40.130001,30.389999,36.669998,37.630001,40.279999,35.610001,37.259998,31.139999,35.790001,35.330002,37.639999,38.52,40.130001,40.470001,42.860001,41.630001,36.889999,38.720001,47.139999,40.759998,45.34,39.830002
Pakistan,PAK,Punjab,Jhelum,10,15,1755754,41.77,31.51,41.700001,42.799999,43.560001,38.41,37.990002,32.380001,35.32,37.48,41.630001,36.029999,41.77,40.529999,47.130001,46.84,40.799999,38.049999,51.77,43.150002,48.599998,37.68
Pakistan,PAK,Punjab,Kasur,10,15,3133097,54.82,33.810001,42.5,39.299999,46.470001,46.490002,43.970001,42.599998,44.02,47.990002,51.34,47.650002,54.82,54.41,54.689999,52.799999,45.389999,49.330002,63.509998,53.860001,60.130001,50.349998
Pakistan,PAK,Punjab,Khanewal,10,15,3184249,51.529999,39.560001,45.939999,45.200001,53.119999,47.91,52.189999,42.189999,47.990002,45.630001,51.139999,51.639999,51.529999,51.57,61.279999,53.470001,50.880001,51.139999,58.509998,54.380001,64.269997,53.68
Pakistan,PAK,Punjab,Khushab,10,15,2199453,34.25,28.639999,36.59,41.18,36.849998,30.09,30.780001,25.879999,28.25,28.84,30.73,32.02,34.25,35.990002,37.84,38.52,34.68,34.970001,43.049999,36.630001,40.860001,35.220001
Pakistan,PAK,Punjab,Lahore,10,15,8927984,53.139999,35.490002,42.990002,40.799999,46.369999,46.68,45.220001,42.790001,44.02,47.07,52.200001,47.66,53.139999,53.73,55.630001,54.950001,46.799999,49.759998,62.580002,56.200001,60.740002,50
